,date,mean_I2L1,mean_I2L2,mean_I3L1,mean_I3L2,mean_VTEC,max_I2L1,max_I2L2,max_I3L1,max_I3L2,max_VTEC,min_I2L1,min_I2L2,min_I3L1,min_I3L2,min_VTEC,meanA_I2L1,meanA_I2L2,meanA_I3L1,meanA_I3L2,maxA_I2L1,maxA_I2L2,maxA_I3L1,maxA_I3L2,minA_I2L1,minA_I2L2,minA_I3L1,minA_I3L2,f107cm,ap
19,2013-01-20,-0.001271530977477819,-0.0026874825017062253,0.0003485473951619019,0.0009454060817471751,28.874279995374227,0.008525,0.018019,0.002477,0.006718,59.255505,-0.013456,-0.02844,5e-06,1.3e-05,4.756749,0.002492580761355881,0.005268266683096989,0.0003485473951619019,0.0009454060817471751,0.013456,0.02844,0.002477,0.006718,0.0,0.0,5e-06,1.3e-05,103.2,10.0
20,2013-01-21,-0.001177055332297077,-0.0024877964135421016,0.0003417413845395609,0.0009269488948705312,28.44314374382985,0.008174,0.017277,0.002317,0.006286,55.927608,-0.01442,-0.030478,9e-06,2.4e-05,7.392045,0.0024310932441141907,0.005138306024187739,0.0003417413845395609,0.0009269488948705312,0.01442,0.030478,0.002317,0.006286,0.0,0.0,9e-06,2.4e-05,104.9,4.0
21,2013-01-22,-0.0010964494478293983,-0.002317434520182788,0.0003508355102817974,0.0009516186024371667,29.053445640555985,0.0082,0.017331,0.001938,0.005258,51.072674,-0.014005,-0.029601,5e-06,1.3e-05,6.12633,0.002440962357197258,0.005159169135567403,0.0003508355102817974,0.0009516186024371667,0.014005,0.029601,0.001938,0.005258,0.0,0.0,5e-06,1.3e-05,106.9,1.0
22,2013-01-23,-0.0011146994614072412,-0.0023560041784064555,0.0003227600099668411,0.0008754673873459451,27.519742517815732,0.007823,0.016535,0.002097,0.005688,53.575844,-0.013768,-0.029101,5e-06,1.2e-05,4.515896,0.0023753417093132457,0.00502047192992544,0.0003227600099668411,0.0008754673873459451,0.013768,0.029101,0.002097,0.005688,0.0,0.0,5e-06,1.2e-05,101.6,2.0
23,2013-01-24,-0.0011184648338322786,-0.0023639631285763004,0.00032323066429193974,0.0008767319716548561,27.89241789645307,0.00792,0.01674,0.001944,0.005273,51.260681,-0.013513,-0.028561,1.3e-05,3.5e-05,6.91691,0.0023938915646670965,0.0050596784645117274,0.00032323066429193974,0.0008767319716548561,0.013513,0.028561,0.001944,0.005273,0.0,0.0,1.3e-05,3.5e-05,100.2,2.0
24,2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.3e-05,3.5e-05,97.5,6.0
25,2013-01-26,-0.0013205957321810982,-0.0027911805484488413,0.00037311128167225727,0.001012041616919666,29.508155541815913,0.007543,0.015942,0.00206,0.005588,52.457245,-0.015738,-0.033264,9e-06,2.4e-05,5.729507,0.0025989281369037465,0.005493040422991643,0.00037311128167225727,0.001012041616919666,0.015738,0.033264,0.00206,0.005588,0.0,0.0,9e-06,2.4e-05,96.3,21.0
26,2013-01-27,-0.0013610924059267121,-0.0028767739967410664,0.00038163230891659404,0.0010351479025351472,30.54427014341202,0.006994,0.014783,0.001756,0.004764,49.559311,-0.014722,-0.031115,1.4e-05,3.9e-05,8.320717,0.0026623622911061424,0.005627114176361363,0.00038163230891659404,0.0010351479025351472,0.014722,0.031115,0.001756,0.004764,0.0,0.0,1.4e-05,3.9e-05,94.7,7.0
27,2013-01-28,-0.0012773105488321898,-0.002699696118862252,0.0003622945348030525,0.0009826998766669236,29.186643936888153,0.00754,0.015937,0.001925,0.005221,50.805004,-0.014366,-0.030364,5e-06,1.4e-05,5.39447,0.00252533583211285,0.005337494006783319,0.0003622945348030525,0.0009826998766669236,0.014366,0.030364,0.001925,0.005221,0.0,0.0,5e-06,1.4e-05,94.7,4.0
28,2013-01-29,-0.001120145569260501,-0.002367515962788231,0.0002631364747342694,0.0007137385134238998,25.232311950737984,0.00678,0.01433,0.001615,0.00438,46.44754,-0.012549,-0.026523,6e-06,1.6e-05,5.26731,0.002215615851001345,0.00468287870175638,0.0002631364747342694,0.0007137385134238998,0.012549,0.026523,0.001615,0.00438,0.0,0.0,6e-06,1.6e-05,92.6,3.0
29,2013-01-30,-0.0010753155122764475,-0.0022727632426492875,0.0002760675583510155,0.000748813882994847,24.661522754300545,0.006539,0.013821,0.002034,0.005516,52.186985,-0.013817,-0.029203,6e-06,1.6e-05,4.807049,0.0021532223022127915,0.004551008203243408,0.0002760675583510155,0.000748813882994847,0.013817,0.029203,0.002034,0.005516,0.0,0.0,6e-06,1.6e-05,93.8,2.0
30,2013-01-31,-0.001066357087382319,-0.0022538340247390647,0.0003105095565532003,0.000842233676194806,26.379181488492357,0.007048,0.014897,0.002134,0.005788,53.469688,-0.013232,-0.027967,2e-06,6e-06,3.17498,0.002243484400750128,0.004741783485821447,0.0003105095565532003,0.000842233676194806,0.013232,0.027967,0.002134,0.005788,0.0,0.0,2e-06,6e-06,99.7,3.0
31,2013-02-01,-0.0011586929648431583,-0.002448992896651008,0.00029815108349749963,0.0008087202417032883,25.75148480309517,0.007579,0.016018,0.002013,0.00546,53.040939,-0.014238,-0.030093,3e-06,9e-06,4.54177,0.0022689185293226248,0.004795539494620396,0.00029815108349749963,0.0008087202417032883,0.014238,0.030093,0.002013,0.00546,0.0,0.0,3e-06,9e-06,100.7,4.0
32,2013-02-02,-0.0013358035338901196,-0.002823324527015511,0.00042429498323958873,0.0011508656894494628,31.818942408726773,0.007619,0.016104,0.00292,0.007921,62.616199,-0.014539,-0.03073,1.9e-05,5.1e-05,9.558544,0.0027153769293411364,0.005739163361930193,0.00042429498323958873,0.0011508656894494628,0.014539,0.03073,0.00292,0.007921,0.0,0.0,1.9e-05,5.1e-05,108.6,10.0
33,2013-02-03,-0.001433442481060606,-0.0030296930113636366,0.00039030185606060615,0.0010586663446969697,31.44439355111742,0.007151,0.015115,0.001987,0.005388,51.53138,-0.015564,-0.032896,1.3e-05,3.6e-05,6.398685,0.002737281837121212,0.005785463087121214,0.00039030185606060615,0.0010586663446969697,0.015564,0.032896,0.001987,0.005388,0.0,0.0,1.3e-05,3.6e-05,107.9,4.0
34,2013-02-04,-0.0013701126512526275,-0.0028958375845026417,0.000368494536916056,0.0009995138328693974,29.45689811532125,0.008005,0.016919,0.002015,0.005467,51.884529,-0.015335,-0.032412,7e-06,1.8e-05,6.023687,0.002602143176352516,0.005499833532163078,0.000368494536916056,0.0009995138328693974,0.015335,0.032412,0.002015,0.005467,0.0,0.0,7e-06,1.8e-05,103.7,4.0
35,2013-02-05,-0.0011999363331737674,-0.0025361578745811395,0.0003916813595021542,0.0010623958066060318,30.313081564767835,0.008058,0.017032,0.002306,0.006255,58.446438,-0.015472,-0.0327,9e-06,2.6e-05,7.204186,0.002574225811393011,0.005440833259932981,0.0003916813595021542,0.0010623958066060318,0.015472,0.0327,0.002306,0.006255,0.0,0.0,9e-06,2.6e-05,102.2,2.0
36,2013-02-06,-0.0012520941611205696,-0.0026463989900944126,0.0003637366506732703,0.0009866050533973067,29.54973804890884,0.007842,0.016575,0.001859,0.005043,49.989315,-0.01501,-0.031725,7e-06,1.9e-05,4.619067,0.0025599008860857446,0.005410553455347469,0.0003637366506732703,0.0009866050533973067,0.01501,0.031725,0.001859,0.005043,0.0,0.0,7e-06,1.9e-05,100.7,1.0
37,2013-02-07,-0.0012387337181792371,-0.002618158039178575,0.0004415012207816787,0.001197544033311252,31.560458351358005,0.008019,0.016949,0.002292,0.006216,63.433586,-0.015576,-0.03292,6e-06,1.7e-05,4.661117,0.0026549863537427836,0.00561152308129081,0.0004415012207816787,0.001197544033311252,0.015576,0.03292,0.002292,0.006216,0.0,0.0,6e-06,1.7e-05,100.0,7.0
38,2013-02-08,-0.001387011583450051,-0.002931558144376727,0.00041934748457432715,0.0011374510731725783,32.77654835785669,0.008132,0.017187,0.002186,0.005931,58.186256,-0.015645,-0.033068,2.1e-05,5.8e-05,7.109069,0.002790861717833213,0.005898706912215619,0.00041934748457432715,0.0011374510731725783,0.015645,0.033068,0.002186,0.005931,0.0,0.0,2.1e-05,5.8e-05,101.4,8.0
39,2013-02-09,-0.001446470099542031,-0.0030572262215661783,0.00040717635592899584,0.0011044373793573294,31.176852978483023,0.007761,0.016404,0.002271,0.006159,55.876114,-0.016167,-0.034171,1.2e-05,3.2e-05,7.720089,0.0027537626698459564,0.005820298853184966,0.00040717635592899584,0.0011044373793573294,0.016167,0.034171,0.002271,0.006159,0.0,0.0,1.2e-05,3.2e-05,104.8,3.0
40,2013-02-10,-0.0014321577681850881,-0.0030269757090385855,0.0004169086107008974,0.00113083587034723,32.21643289115453,0.008517,0.018002,0.002218,0.006015,54.457233,-0.016029,-0.033879,1.6e-05,4.4e-05,7.037352,0.002788469366503844,0.0058936519936385314,0.0004169086107008974,0.00113083587034723,0.016029,0.033879,0.002218,0.006015,0.0,0.0,1.6e-05,4.4e-05,103.2,4.0
41,2013-02-11,-0.0014229116032557258,-0.003007436778345637,0.00035214363051296613,0.0009551639220140071,29.9014716314594,0.007803,0.016493,0.001798,0.004877,49.010529,-0.014571,-0.030798,2.6e-05,6.9e-05,7.557915,0.0026514825288661745,0.005604120670073822,0.00035214363051296613,0.0009551639220140071,0.014571,0.030798,0.001798,0.004877,0.0,0.0,2.6e-05,6.9e-05,102.5,5.0
42,2013-02-12,-0.0012694119361738375,-0.0026829986750203476,0.00037647860157861865,0.0010211673070734985,29.33707630324999,0.007659,0.016187,0.002133,0.005786,53.660858,-0.015834,-0.033466,7e-06,1.9e-05,6.914281,0.002541477428025213,0.0053716107020499336,0.00037647860157861865,0.0010211673070734985,0.015834,0.033466,0.002133,0.005786,0.0,0.0,7e-06,1.9e-05,99.2,5.0
